resume_text,skills_count,keywords_count,format_score,experience_years,education_score,selected
"Python, Communication, C++, Leadership, Creativity, Project Management",6,2,9,19,5,1
"Python, C++, JavaScript, Adaptability, Project Management, Leadership, Problem-Solving, Deep Learning, Cloud Computing",9,2,8,8,7,1
"HTML, Problem-Solving, Creativity, Data Science, Project Management, Machine Learning, C++, Time Management, JavaScript, AI",10,3,7,12,9,1
"Machine Learning, Big Data, JavaScript, Cloud Computing, Teamwork, Python",6,2,10,11,5,1
"Creativity, HTML, Python, Cloud Computing, Project Management, Teamwork, Communication",7,1,7,20,7,1
"Communication, Big Data, JavaScript, Java, Leadership, HTML, Data Science",7,2,9,4,7,1
"Problem-Solving, Deep Learning, Creativity, HTML, Adaptability, SQL",6,0,8,7,7,1
"Machine Learning, HTML, Leadership, Problem-Solving, Teamwork, Java",6,2,7,19,10,1
"Project Management, Big Data, Teamwork, SQL, Machine Learning",5,1,9,7,9,1
"Java, Problem-Solving, Teamwork, Communication, Project Management",5,0,5,11,10,1
"Leadership, SQL, Time Management, Communication, HTML",5,1,10,12,9,1
"Time Management, Adaptability, Project Management, SQL, Leadership, Data Science, Big Data",7,2,10,2,10,1
"Creativity, JavaScript, Project Management, Adaptability, C++, Leadership, Python, Java",8,2,5,4,7,1
"Problem-Solving, Leadership, Data Science, Python, Project Management, SQL, Java, Time Management",8,3,7,8,10,1
"Project Management, Data Science, AI, Teamwork, Java, CSS, C++, Problem-Solving, Machine Learning, JavaScript",10,3,10,11,10,1
"HTML, Big Data, Cloud Computing, Problem-Solving, Creativity, C++, Python, Adaptability, Project Management, Deep Learning",10,1,6,3,5,0
"Cloud Computing, Time Management, Big Data, Deep Learning, Problem-Solving, Creativity, JavaScript",7,0,7,0,5,0
"AI, SQL, Project Management, Adaptability, C++, Communication, Leadership, JavaScript",8,2,5,16,10,1
"CSS, Machine Learning, JavaScript, Big Data, Cloud Computing, Adaptability, HTML, Data Science",8,2,8,16,10,1
"Adaptability, Communication, Leadership, Python, JavaScript, SQL, AI, Deep Learning",8,3,9,1,5,0
"JavaScript, CSS, Teamwork, Adaptability, AI, C++, Cloud Computing",7,1,5,4,7,0
"C++, AI, Communication, Leadership, Teamwork, Data Science, HTML, Deep Learning, Machine Learning",9,4,9,14,9,1
"Machine Learning, C++, Big Data, CSS, Python, Data Science",6,3,8,14,5,1
"Big Data, JavaScript, Creativity, Deep Learning, AI, Time Management, Python",7,2,10,14,5,1
"AI, Deep Learning, Data Science, Machine Learning, C++, Adaptability, Project Management",7,3,8,0,9,1
"Data Science, Big Data, Deep Learning, Teamwork, C++",5,1,9,13,9,1
"Data Science, AI, JavaScript, Creativity, SQL, Deep Learning, Adaptability, Problem-Solving",8,2,5,3,5,0
"Communication, Creativity, AI, Time Management, Data Science, C++, Adaptability",7,2,6,3,9,1
"SQL, Deep Learning, C++, Communication, Time Management, Leadership, HTML, Data Science, JavaScript, Adaptability",10,2,9,17,10,1
"Teamwork, HTML, CSS, Deep Learning, Big Data, Communication, SQL",7,0,6,6,5,0
"Deep Learning, Time Management, SQL, C++, Cloud Computing, Leadership, Communication",7,1,6,6,7,1
"Time Management, C++, Deep Learning, Communication, Leadership, JavaScript",6,1,6,7,9,1
"Teamwork, C++, Adaptability, Creativity, Deep Learning, CSS, Leadership, Python, Big Data, Time Management",10,2,9,15,5,1
"Leadership, Creativity, Python, Time Management, Data Science, Communication, Machine Learning, Teamwork",8,4,5,3,10,1
"JavaScript, Cloud Computing, SQL, Python, CSS, Communication, Data Science, HTML, Project Management",9,2,10,7,9,1
"Creativity, Data Science, Java, SQL, C++, Machine Learning, Project Management, Cloud Computing",8,2,10,15,5,1
"Data Science, Deep Learning, Project Management, SQL, Time Management, Leadership, CSS, Teamwork",8,2,10,9,9,1
"Problem-Solving, Creativity, Data Science, Cloud Computing, C++, Big Data, Deep Learning, CSS",8,1,6,11,10,1
"Creativity, Problem-Solving, Time Management, Leadership, Cloud Computing, Teamwork, Python, Deep Learning",8,2,8,1,10,1
"Communication, Creativity, Time Management, Teamwork, CSS, AI",6,1,8,10,7,1
"Project Management, Deep Learning, Leadership, Cloud Computing, C++, JavaScript, Python, CSS, Problem-Solving",9,2,8,9,5,1
"SQL, Adaptability, Python, Leadership, Creativity, Data Science, Time Management, CSS, Deep Learning, C++",10,3,6,4,7,1
"Java, Machine Learning, Data Science, SQL, Deep Learning, Cloud Computing",6,2,5,19,5,1
"Data Science, Big Data, Adaptability, Problem-Solving, SQL, Project Management, Teamwork",7,1,8,10,5,1
"Creativity, Adaptability, JavaScript, Big Data, SQL, AI",6,1,10,6,10,1
"Teamwork, Java, Big Data, Leadership, Cloud Computing, CSS, SQL, Communication, Deep Learning, JavaScript",10,1,6,0,10,1
"SQL, CSS, Machine Learning, HTML, JavaScript, Cloud Computing, Time Management",7,1,7,18,10,1
"Problem-Solving, Creativity, Deep Learning, CSS, Teamwork, SQL",6,0,7,0,5,0
"JavaScript, Cloud Computing, Java, Project Management, Problem-Solving, Machine Learning, Adaptability",7,1,7,2,7,0
"HTML, JavaScript, Adaptability, Communication, Data Science, Project Management, Problem-Solving, SQL, Machine Learning, Creativity",10,2,7,12,10,1
"C++, Cloud Computing, CSS, SQL, Communication, Creativity, HTML, AI",8,1,5,7,10,1
"Cloud Computing, HTML, Java, Project Management, Big Data, Creativity, JavaScript, C++",8,0,10,15,10,1
"C++, Machine Learning, JavaScript, Java, Teamwork",5,1,8,8,5,1
"CSS, SQL, Communication, Python, Data Science, Deep Learning, JavaScript",7,2,5,0,7,0
"Java, HTML, AI, Project Management, C++, Data Science, Adaptability, Python, JavaScript, CSS",10,3,6,15,5,1
"Project Management, Big Data, Java, JavaScript, Machine Learning, Problem-Solving, Adaptability, C++, Leadership, CSS",10,2,5,6,5,1
"Machine Learning, Adaptability, Python, Leadership, Java, HTML, SQL, CSS",8,3,6,1,10,1
"Teamwork, HTML, Python, AI, Cloud Computing, C++, Problem-Solving, Communication, Big Data",9,2,8,8,7,1
"Project Management, CSS, Big Data, Adaptability, Machine Learning, SQL, Communication, Leadership, C++, Cloud Computing",10,2,8,17,7,1
"Deep Learning, Communication, Python, Java, JavaScript",5,1,8,20,9,1
"Project Management, Time Management, C++, Cloud Computing, Leadership, CSS, Machine Learning, JavaScript",8,2,10,14,7,1
"Creativity, Teamwork, Data Science, Time Management, Machine Learning, Leadership, AI, C++, CSS",9,4,8,13,5,1
"Big Data, SQL, AI, Time Management, Problem-Solving, C++",6,1,6,5,10,1
"CSS, Deep Learning, Problem-Solving, Java, AI, Python, Project Management, Teamwork, SQL, Communication",10,2,5,20,7,1
"Deep Learning, Communication, C++, JavaScript, Java",5,0,6,8,10,1
"Data Science, Problem-Solving, CSS, SQL, Teamwork, Time Management, Cloud Computing, Python, Communication",9,2,6,10,5,1
"Python, Adaptability, SQL, Java, Deep Learning, Big Data, Leadership, Problem-Solving, AI",9,3,10,16,5,1
"Problem-Solving, Deep Learning, Machine Learning, C++, Python, Cloud Computing",6,2,6,20,10,1
"C++, Project Management, Python, SQL, Adaptability, Communication, Deep Learning, Creativity, HTML, Time Management",10,1,6,14,9,1
"Deep Learning, SQL, Big Data, Project Management, Adaptability, Teamwork, Leadership, Communication, Time Management, CSS",10,1,9,19,10,1
"Leadership, CSS, JavaScript, Big Data, Python, Cloud Computing, Teamwork, Data Science",8,3,10,4,10,1
"Machine Learning, Communication, C++, Leadership, AI",5,3,6,8,7,1
"Project Management, Time Management, Big Data, Data Science, Java, Communication, Machine Learning, JavaScript",8,2,10,14,5,1
"Project Management, CSS, HTML, Python, Cloud Computing, Java, Data Science, Problem-Solving, C++",9,2,8,18,10,1
"Deep Learning, Creativity, Python, C++, CSS, Problem-Solving, SQL, Machine Learning",8,2,9,3,7,1
"Creativity, Cloud Computing, Leadership, Data Science, CSS, Time Management",6,2,5,3,7,0
"Deep Learning, Teamwork, Data Science, Time Management, Big Data, Adaptability, CSS, AI, Problem-Solving, Java",10,2,5,9,10,1
"JavaScript, Cloud Computing, Communication, Problem-Solving, Machine Learning, AI, Creativity",7,2,7,0,9,0
"CSS, AI, C++, Data Science, Machine Learning, Project Management, HTML",7,3,9,2,9,1
"Cloud Computing, Project Management, CSS, HTML, Python, Machine Learning, JavaScript",7,2,9,15,10,1
"Adaptability, Leadership, HTML, C++, Cloud Computing",5,1,9,18,7,1
"Creativity, Communication, Teamwork, Adaptability, Leadership, Time Management, C++",7,1,6,4,5,0
"Leadership, HTML, Java, Cloud Computing, Adaptability, SQL, CSS, Big Data, Communication",9,1,8,18,9,1
"HTML, Data Science, Deep Learning, CSS, C++, Teamwork, Time Management",7,1,6,14,9,1
"JavaScript, Python, Project Management, Data Science, Creativity, SQL, Teamwork, CSS, Communication, Adaptability",10,2,6,2,10,1
"C++, Teamwork, JavaScript, AI, Communication, Project Management",6,1,5,15,7,1
"HTML, Time Management, Problem-Solving, Cloud Computing, CSS",5,0,9,8,10,1
"Cloud Computing, Deep Learning, AI, Creativity, Adaptability, Leadership, Java, Data Science, Python",9,4,5,3,5,0
"Time Management, C++, Problem-Solving, Java, Adaptability",5,0,8,6,9,1
"Problem-Solving, Leadership, Teamwork, Creativity, C++",5,1,6,10,9,1
"C++, HTML, Deep Learning, Teamwork, AI, Data Science, Big Data, Project Management, Cloud Computing, CSS",10,2,7,14,7,1
"AI, Cloud Computing, Adaptability, Project Management, Java, HTML",6,1,6,13,9,1
"Data Science, SQL, Leadership, Project Management, Python, Big Data",6,3,8,0,5,0
"JavaScript, AI, CSS, Communication, Cloud Computing, Teamwork, Creativity",7,1,6,11,5,1
"Big Data, AI, Python, Communication, Deep Learning, Adaptability, C++, Creativity, Teamwork, Time Management",10,2,8,17,10,1
"Project Management, CSS, Machine Learning, Cloud Computing, Deep Learning, Data Science, Creativity, AI, JavaScript",9,3,8,6,5,1
"Deep Learning, Cloud Computing, Machine Learning, Time Management, SQL, C++",6,1,8,12,7,1
"Python, Data Science, Big Data, CSS, Teamwork, Cloud Computing, HTML, Communication",8,2,9,10,5,1
